title,authors,year,source,paper,citations no.
Understanding the gender gap: An economic history of American women,C Goldin,1990,https://www.nber.org/books-and-chapters/understanding-gender-gap-economic-history-american-women,,2829
History of human life span and mortality,"G Acsádi, J Nemeskéri, K Balás",1970,https://www.oeaw.ac.at/resources/Record/990000565960504498,,2816
A theory of economic history,JR Hicks,1969,https://ideas.repec.org/b/oxp/obooks/9780198811633.html,,2784
Life against death: The psychoanalytical meaning of history,NO Brown,1985,https://books.google.com/books?hl=en&lr=lang_en&id=3vWuM3tKsR4C&oi=fnd&pg=PR7&dq=history&ots=ApHCC5PZWH&sig=ZHTrmWIed0J5AehIT6D652a5KYY,http://chinese.wooster.edu/files/brown1.pdf,2752
The power of place: Urban landscapes as public history,D Hayden,1997,https://books.google.com/books?hl=en&lr=lang_en&id=bpQB4ogOQscC&oi=fnd&pg=PR12&dq=history&ots=-UbPXyIV3w&sig=kxaIHRV0aGuEKyxgDeTB7b4dkEw,,2746
Structural history and tectonics of Iran: a review,J Stoecklin,1968,https://pubs.geoscienceworld.org/aapgbull/article-abstract/52/7/1229/35439,,2746
"The English common reader: a social history of the mass reading public, 1800-1900",RD Altick,1998,https://kb.osu.edu/handle/1811/31701,https://kb.osu.edu/bitstream/handle/1811/31701/THE_ENGLISH_COMMON_READER.pdf?sequence=1,2685
History of strength of materials: with a brief account of the history of theory of elasticity and theory of structures,S Timoshenko,1983,https://books.google.com/books?hl=en&lr=lang_en&id=tkScQmyhsb8C&oi=fnd&pg=PA1&dq=history&ots=X6hoik4xLG&sig=AltdNXLGp4i5ogb0TuQk33abBQM,https://www.academia.edu/download/53533336/_Timoshenko__Stephen_P.__History_of_Strength_of_MaBookZZ.org.pdf,2679
"Race, culture, and evolution: Essays in the history of anthropology",GW Stocking,1982,https://books.google.com/books?hl=en&lr=lang_en&id=aOP43AlmLP8C&oi=fnd&pg=PR11&dq=history&ots=1A4oJlib8_&sig=9pZ1mYuDVlXvMqeKgU_C4rQc0AY,,2672
The colonizer's model of the world: Geographical diffusionism and Eurocentric history,JM Blaut,1993,https://books.google.com/books?hl=en&lr=lang_en&id=NbgfEny9A38C&oi=fnd&pg=PA1&dq=history&ots=nsMb3l025U&sig=yZFnivHuTgyc5kL3uhZ7ZwvJyuk,,2626
