title,authors,source,year,citations no.
Very deep convolutional networks for natural language processing,"A Conneau, H Schwenk, L Barrault, Y Lecun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:sWz8iI0ruhYC,2016,1261
Efficient object localization using convolutional networks,"J Tompson, R Goroshin, A Jain, Y LeCun, C Bregler",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:H7WDvlwkmv8C,2014,1251
The Loss Surface of Multilayer Networks,"A Choromanska, M Henaff, M Mathieu, G Ben Arous, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:aAWV-AKBBEQC,2015,1243
Energy-based generative adversarial network,"J Zhao, M Mathieu, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:GdooyxxgJVwC,2016,1212
Stereo Matching by Training a Convolutional Neural Network to Compare Image Patches,"J Žbontar, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:9KdEqzwCTsEC,2016,1182
Object recognition with gradient-based learning,"Y LeCun, P Haffner, L Bottou, Y Bengio",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:r0BpntZqJG4C,1999,1108
Mnist handwritten digit database. AT&T Labs,"Y LeCun, C Cortes, CJ Burges",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:4_XrlajHzhgC,2010,1015
Pedestrian detection with unsupervised multi-stage feature learning,"P Sermanet, K Kavukcuoglu, S Chintala, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:eO3_k5sD8BwC,2013,1003
Sparse feature learning for deep belief networks,"MA Ranzato, Y Boureau, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Se3iqnhoufwC,2008,998
Comparison of classifier methods: a case study in handwritten digit recognition,"L Bottou, C Cortes, JS Denker, H Drucker, I Guyon, LD Jackel, Y LeCun, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:9yKSN-GCB0IC,1994,961
A tutorial on energy-based learning,"Y LeCun, S Chopra, R Hadsell, M Ranzato, F Huang",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:8k81kl-MbHgC,2006,944
Traffic sign recognition with multi-scale convolutional networks,"P Sermanet, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:5awf1xo2G04C,2011,861
Convolutional learning of spatio-temporal features,"G Taylor, R Fergus, Y LeCun, C Bregler",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:JV2RwH3_ST0C,2010,783
Real-time continuous pose recovery of human hands using convolutional networks,"J Tompson, M Stein, Y Lecun, K Perlin",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:HWVPSj4JXeEC,2014,774
A theoretical framework for back-propagation,Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:ZuybSZzF8UAC,1988,746
Computing the stereo matching cost with a convolutional neural network,"J Žbontar, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:8baWPQ8fTxwC,2014,728
