title,case,year,source,citations no.
Williams v. Superior Court,"398 P. 3d 69, 3 Cal. 5th 531, 220 Cal. Rptr. 3d… - Cal: Supreme…",2017,https://scholar.google.com/scholar_case?case=11988285954281695517&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,200
Mitchell v. City of New York,"841 F. 3d 72 - Court of Appeals, 2nd Circuit",2016,https://scholar.google.com/scholar_case?case=17183171910375578900&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,196
RUDD EQUIPMENT v. JOHN DEERE CONST. & FORESTRY,"834 F. 3d 589 - Court of Appeals, 6th Circuit",2016,https://scholar.google.com/scholar_case?case=17508157980168341012&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,193
US v. Ackerman,"831 F. 3d 1292 - Court of Appeals, 10th Circuit",2016,https://scholar.google.com/scholar_case?case=11370535787143803280&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,184
"Carlsen v. GameStop, Inc.","833 F. 3d 903 - Court of Appeals, 8th Circuit",2016,https://scholar.google.com/scholar_case?case=1718245265492402811&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,176
"In re Anthem, Inc. Data Breach Litigation","162 F. Supp. 3d 953 - Dist. Court, ND California",2016,https://scholar.google.com/scholar_case?case=12747676771204967679&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,176
Navtej Singh Johar v. Union of India,"10 SCC 1 ",2018,,175
"Braitberg v. Charter Communications, Inc.","836 F. 3d 925 - Court of Appeals, 8th Circuit",2016,https://scholar.google.com/scholar_case?case=11861062593507357104&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,169
Maslenjak v. US,"137 S. Ct. 1918, 198 L. Ed. 2d 460, 582 US __ - Supreme Court",2017,https://scholar.google.com/scholar_case?case=5428452636982224959&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,168
"Douez v. Facebook, Inc.","2017 SCC 33 ",2017,,166
Loomis v. Wisconsin,"137 S. Ct. 2290, 582 US __, 198 L. Ed. 2d 729 - Supreme Court",2017,https://scholar.google.com/scholar_case?case=10003555813409328334&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,165
Forman v. Henkin,"30 NY 3d 656, 70 NYS 3d 157, 93 NE 3d 882 - NY: Court of Appeals",2018,https://scholar.google.com/scholar_case?case=16277784468361363590&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,160
"Groshek v. Time Warner Cable, Inc.","865 F. 3d 884 - Court of Appeals, 7th Circuit",2017,https://scholar.google.com/scholar_case?case=16621427682552347658&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,153
Chanko v. AMERICAN COS. INC.,"27 NY 3d 46, 49 NE 3d 1171, 29 NYS 3d 879 - NY: Court of Appeals",2016,https://scholar.google.com/scholar_case?case=236170446778239674&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,153
US v. Ganias,"824 F. 3d 199 - Court of Appeals, 2nd Circuit",2016,https://scholar.google.com/scholar_case?case=15889108038000273782&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,152
State v. Sinclair,"367 P. 3d 612, 192 Wash. App. 380 - Wash: Court of Appeals, 1st…",2016,https://scholar.google.com/scholar_case?case=11623851762125291433&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,151
Texas v. US,"201 F. Supp. 3d 810 - Dist. Court, ND Texas",2016,https://scholar.google.com/scholar_case?case=48685695113464305&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,149
Shayara Banu Case,"9 SCC 1 ",2017,,147
